cluster,size,share,median_Pclass,median_Age,median_SibSp,median_Parch,median_Fare,median_target,mode_Sex,mode_Embarked
-1,117,0.585,2.0,25.0,0.0,0.0,21.3846,1.0,male,S
0,33,0.165,3.0,31.5,0.0,0.0,8.967,0.0,male,S
1,30,0.15,3.0,31.5,0.0,0.0,9.51845,1.0,female,S
2,10,0.05,3.0,27.0,1.0,0.0,8.0201,0.0,male,S
3,5,0.025,3.0,35.0,0.0,0.0,8.7768,0.0,female,C
4,5,0.025,1.0,27.5,0.0,0.0,58.4553,1.0,female,S
