epoch,train_loss,test_accuracy
1,2.2587058809621516,0.6
2,2.0132547912285736,0.7583333333333333
3,1.3452862941646377,0.85
4,0.7277623349871997,0.8888888888888888
5,0.45160998288923115,0.8972222222222223
6,0.3545693210847857,0.925
7,0.274783094537366,0.9416666666666667
8,0.22889197520813181,0.9361111111111111
9,0.20044018118723284,0.9416666666666667
10,0.15589132441483858,0.9666666666666667
11,0.1393360498885604,0.9694444444444444
12,0.14048630512976032,0.9472222222222222
13,0.1172849444378227,0.9722222222222222
14,0.10434798691512481,0.9722222222222222
15,0.10944978444835089,0.9611111111111111
16,0.08336294859792925,0.975
17,0.08205813814729722,0.9638888888888889
18,0.06942842231652516,0.9666666666666667
19,0.06999808907179614,0.975
20,0.053120160370380747,0.9777777777777777
