epoch,train_loss,test_accuracy
1,1.3720425486564636,0.25
2,1.1817829251289367,0.5
3,0.909108567237854,0.5
4,0.838622772693634,0.7625
5,0.7447249233722687,0.75625
6,0.735259622335434,0.5
7,1.5759180068969727,0.5
8,1.4514018893241882,0.31875
9,1.2414132475852966,0.2875
10,1.0954041123390197,0.5
11,1.0141031444072723,0.56875
12,0.9377770841121673,0.7375
13,0.8710292220115662,0.75625
14,0.8145819485187531,0.76875
15,0.7651482939720153,0.76875
16,0.7145356118679047,0.75625
17,0.6693075120449066,0.775
18,0.6182893693447113,0.7625
19,0.5643642127513886,0.7625
20,0.49810850918293,0.8
