epoch,train_loss,test_accuracy
1,2.290598608506746,0.1
2,2.218413131139141,0.4722222222222222
3,1.9790756153247384,0.6138888888888889
4,1.4497324483794476,0.7444444444444445
5,0.9569570542460277,0.8388888888888889
6,0.6863473482072229,0.8611111111111112
7,0.5396774599099209,0.8722222222222222
8,0.4408655251656959,0.8944444444444445
9,0.3750593893089971,0.9166666666666666
10,0.3400093576065268,0.9305555555555556
11,0.30442850616298456,0.9166666666666666
12,0.2580877278899682,0.925
13,0.2533508373389413,0.925
14,0.22244209760415032,0.9305555555555556
15,0.20660804451631853,0.9472222222222222
16,0.18210537305455615,0.9611111111111111
17,0.18170102032921592,0.9611111111111111
18,0.17437982279224037,0.95
19,0.14448117240278274,0.9666666666666667
20,0.14988062543718036,0.9583333333333334
